Cause,Code-ICD-10-113,Age,Gender,Year,Deaths,Population,Crude Rate
Salmonella infections,GR113-001,23,F,2015,0,2264424,Unreliable
Salmonella infections,GR113-001,24,F,2005,0,2084320,Unreliable
Salmonella infections,GR113-001,24,F,2010,0,2085300,Unreliable
Salmonella infections,GR113-001,24,F,2015,0,2319408,Unreliable
Salmonella infections,GR113-001,25,F,2005,1,2090577,Unreliable
Salmonella infections,GR113-001,25,F,2010,0,2101042,Unreliable
Salmonella infections,GR113-001,25,F,2015,0,2322049,Unreliable
Salmonella infections,GR113-001,26,F,2005,1,1973649,Unreliable
Salmonella infections,GR113-001,26,F,2010,0,2055217,Unreliable
Salmonella infections,GR113-001,26,F,2015,0,2233433,Unreliable
Salmonella infections,GR113-001,27,F,2005,0,1927615,Unreliable
Salmonella infections,GR113-001,27,F,2010,0,2108218,Unreliable
Salmonella infections,GR113-001,27,F,2015,0,2185163,Unreliable
Salmonella infections,GR113-001,28,F,2005,0,1891577,Unreliable
Salmonella infections,GR113-001,28,F,2010,0,2096644,Unreliable
Salmonella infections,GR113-001,28,F,2015,0,2149931,Unreliable
Salmonella infections,GR113-001,29,F,2005,0,1829126,Unreliable
Salmonella infections,GR113-001,29,F,2010,0,2105137,Unreliable
Salmonella infections,GR113-001,29,F,2015,0,2161579,Unreliable
Salmonella infections,GR113-001,30,F,2005,0,1914556,Unreliable
Salmonella infections,GR113-001,30,F,2010,0,2124866,Unreliable
Salmonella infections,GR113-001,30,F,2015,0,2185746,Unreliable
Salmonella infections,GR113-001,31,F,2005,0,1845744,Unreliable
Salmonella infections,GR113-001,31,F,2010,0,1982063,Unreliable
Salmonella infections,GR113-001,31,F,2015,0,2125468,Unreliable
Salmonella infections,GR113-001,32,F,2005,0,1921927,Unreliable
Salmonella infections,GR113-001,32,F,2010,0,1992371,Unreliable
Salmonella infections,GR113-001,32,F,2015,0,2162451,Unreliable
Salmonella infections,GR113-001,33,F,2005,0,2015588,Unreliable
Salmonella infections,GR113-001,33,F,2010,0,1943287,Unreliable
Salmonella infections,GR113-001,33,F,2015,0,2166123,Unreliable
Salmonella infections,GR113-001,34,F,2005,0,2137339,Unreliable
Salmonella infections,GR113-001,34,F,2010,0,1923012,Unreliable
Salmonella infections,GR113-001,34,F,2015,0,2146121,Unreliable
Salmonella infections,GR113-001,35,F,2005,0,2176855,Unreliable
Salmonella infections,GR113-001,35,F,2010,0,1975518,Unreliable
Salmonella infections,GR113-001,35,F,2015,0,2180134,Unreliable
Salmonella infections,GR113-001,36,F,2005,0,2064403,Unreliable
Salmonella infections,GR113-001,36,F,2010,0,1911492,Unreliable
Salmonella infections,GR113-001,36,F,2015,0,2055478,Unreliable
Salmonella infections,GR113-001,37,F,2005,0,2028122,Unreliable
Salmonella infections,GR113-001,37,F,2010,0,1981059,Unreliable
Salmonella infections,GR113-001,37,F,2015,0,2017940,Unreliable
Salmonella infections,GR113-001,38,F,2005,0,2041731,Unreliable
Salmonella infections,GR113-001,38,F,2010,0,2072160,Unreliable
Salmonella infections,GR113-001,38,F,2015,0,2003325,Unreliable
Salmonella infections,GR113-001,39,F,2005,0,2100509,Unreliable
Salmonella infections,GR113-001,39,F,2010,0,2197391,Unreliable
Salmonella infections,GR113-001,39,F,2015,0,1944284,Unreliable
Salmonella infections,GR113-001,40,F,2005,0,2244129,Unreliable
Salmonella infections,GR113-001,40,F,2010,0,2192025,Unreliable
Salmonella infections,GR113-001,40,F,2015,0,2000626,Unreliable
Salmonella infections,GR113-001,41,F,2005,1,2295371,Unreliable
Salmonella infections,GR113-001,41,F,2010,0,2067167,Unreliable
Salmonella infections,GR113-001,41,F,2015,0,1946164,Unreliable
Salmonella infections,GR113-001,42,F,2005,0,2291530,Unreliable
Salmonella infections,GR113-001,42,F,2010,0,2047451,Unreliable
Salmonella infections,GR113-001,42,F,2015,0,1981947,Unreliable
Salmonella infections,GR113-001,43,F,2005,0,2301346,Unreliable
Salmonella infections,GR113-001,43,F,2010,0,2069115,Unreliable
Salmonella infections,GR113-001,43,F,2015,0,2068346,Unreliable
Salmonella infections,GR113-001,44,F,2005,0,2321347,Unreliable
Salmonella infections,GR113-001,44,F,2010,0,2121229,Unreliable
Salmonella infections,GR113-001,44,F,2015,0,2187962,Unreliable
Salmonella infections,GR113-001,45,F,2005,0,2352677,Unreliable
Salmonella infections,GR113-001,45,F,2010,0,2271418,Unreliable
Salmonella infections,GR113-001,45,F,2015,0,2206861,Unreliable
Salmonella infections,GR113-001,46,F,2005,0,2276013,Unreliable
Salmonella infections,GR113-001,46,F,2010,0,2288779,Unreliable
Salmonella infections,GR113-001,46,F,2015,0,2095675,Unreliable
Salmonella infections,GR113-001,47,F,2005,0,2283353,Unreliable
Salmonella infections,GR113-001,47,F,2010,0,2297017,Unreliable
Salmonella infections,GR113-001,47,F,2015,0,2054083,Unreliable
Salmonella infections,GR113-001,48,F,2005,0,2261293,Unreliable
Salmonella infections,GR113-001,48,F,2010,0,2301062,Unreliable
Salmonella infections,GR113-001,48,F,2015,0,2062616,Unreliable
Salmonella infections,GR113-001,49,F,2005,0,2183752,Unreliable
Salmonella infections,GR113-001,49,F,2010,0,2341230,Unreliable
Salmonella infections,GR113-001,49,F,2015,0,2099680,Unreliable
Salmonella infections,GR113-001,50,F,2005,0,2181791,Unreliable
Salmonella infections,GR113-001,50,F,2010,0,2359941,Unreliable
Salmonella infections,GR113-001,50,F,2015,0,2227286,Unreliable
Salmonella infections,GR113-001,51,F,2005,0,2112391,Unreliable
Salmonella infections,GR113-001,51,F,2010,0,2273865,Unreliable
Salmonella infections,GR113-001,51,F,2015,0,2276939,Unreliable
Salmonella infections,GR113-001,52,F,2005,0,2041805,Unreliable
Salmonella infections,GR113-001,52,F,2010,0,2293600,Unreliable
Salmonella infections,GR113-001,52,F,2015,0,2279256,Unreliable
Salmonella infections,GR113-001,53,F,2005,0,1980116,Unreliable
Salmonella infections,GR113-001,53,F,2010,0,2239000,Unreliable
Salmonella infections,GR113-001,53,F,2015,0,2277046,Unreliable
Salmonella infections,GR113-001,54,F,2005,1,1941338,Unreliable
Salmonella infections,GR113-001,54,F,2010,0,2198445,Unreliable
Salmonella infections,GR113-001,54,F,2015,0,2309943,Unreliable
Salmonella infections,GR113-001,55,F,2005,0,1923637,Unreliable
Salmonella infections,GR113-001,55,F,2010,0,2181236,Unreliable
Salmonella infections,GR113-001,55,F,2015,0,2324887,Unreliable
Salmonella infections,GR113-001,56,F,2005,0,1863943,Unreliable
Salmonella infections,GR113-001,56,F,2010,1,2081372,Unreliable
Salmonella infections,GR113-001,56,F,2015,0,2255835,Unreliable
Salmonella infections,GR113-001,57,F,2005,0,1842786,Unreliable
Salmonella infections,GR113-001,57,F,2010,0,2031031,Unreliable
Salmonella infections,GR113-001,57,F,2015,2,2246694,Unreliable
Salmonella infections,GR113-001,58,F,2005,0,1929365,Unreliable
Salmonella infections,GR113-001,58,F,2010,0,1960120,Unreliable
Salmonella infections,GR113-001,58,F,2015,1,2228294,Unreliable
Salmonella infections,GR113-001,59,F,2005,0,1448128,Unreliable
Salmonella infections,GR113-001,59,F,2010,0,1887398,Unreliable
Salmonella infections,GR113-001,59,F,2015,1,2154665,Unreliable
Salmonella infections,GR113-001,60,F,2005,0,1433435,Unreliable
Salmonella infections,GR113-001,60,F,2010,0,1875624,Unreliable
Salmonella infections,GR113-001,60,F,2015,0,2138784,Unreliable
Salmonella infections,GR113-001,61,F,2005,0,1428216,Unreliable
Salmonella infections,GR113-001,61,F,2010,0,1813519,Unreliable
Salmonella infections,GR113-001,61,F,2015,0,2060944,Unreliable
Salmonella infections,GR113-001,62,F,2005,0,1475790,Unreliable
Salmonella infections,GR113-001,62,F,2010,0,1850490,Unreliable
Salmonella infections,GR113-001,62,F,2015,1,1986021,Unreliable
Salmonella infections,GR113-001,63,F,2005,1,1310319,Unreliable
Salmonella infections,GR113-001,63,F,2010,1,1811555,Unreliable
Salmonella infections,GR113-001,63,F,2015,0,1909879,Unreliable
Salmonella infections,GR113-001,64,F,2005,0,1212791,Unreliable
Salmonella infections,GR113-001,64,F,2010,0,1389236,Unreliable
Salmonella infections,GR113-001,64,F,2015,1,1857069,Unreliable
Salmonella infections,GR113-001,65,F,2005,0,1183371,Unreliable
Salmonella infections,GR113-001,65,F,2010,0,1407451,Unreliable
Salmonella infections,GR113-001,65,F,2015,0,1812107,Unreliable
Salmonella infections,GR113-001,66,F,2005,0,1121292,Unreliable
Salmonella infections,GR113-001,66,F,2010,0,1390865,Unreliable
Salmonella infections,GR113-001,66,F,2015,0,1760795,Unreliable
Salmonella infections,GR113-001,67,F,2005,0,1102944,Unreliable
Salmonella infections,GR113-001,67,F,2010,0,1400459,Unreliable
Salmonella infections,GR113-001,67,F,2015,0,1741227,Unreliable
Salmonella infections,GR113-001,68,F,2005,0,1040489,Unreliable
Salmonella infections,GR113-001,68,F,2010,0,1236376,Unreliable
Salmonella infections,GR113-001,68,F,2015,0,1812428,Unreliable
Salmonella infections,GR113-001,69,F,2005,1,1021404,Unreliable
Salmonella infections,GR113-001,69,F,2010,0,1147565,Unreliable
Salmonella infections,GR113-001,69,F,2015,1,1344721,Unreliable
Salmonella infections,GR113-001,70,F,2005,0,1016272,Unreliable
Salmonella infections,GR113-001,70,F,2010,0,1097510,Unreliable
Salmonella infections,GR113-001,70,F,2015,0,1329818,Unreliable
Salmonella infections,GR113-001,71,F,2005,1,937061,Unreliable
Salmonella infections,GR113-001,71,F,2010,0,1049175,Unreliable
Salmonella infections,GR113-001,71,F,2015,0,1298089,Unreliable
Salmonella infections,GR113-001,72,F,2005,0,935793,Unreliable
Salmonella infections,GR113-001,72,F,2010,1,1010549,Unreliable
Salmonella infections,GR113-001,72,F,2015,1,1328954,Unreliable
Salmonella infections,GR113-001,73,F,2005,0,925511,Unreliable
Salmonella infections,GR113-001,73,F,2010,0,949097,Unreliable
Salmonella infections,GR113-001,73,F,2015,1,1162411,Unreliable
Salmonella infections,GR113-001,74,F,2005,0,914432,Unreliable
Salmonella infections,GR113-001,74,F,2010,0,927863,Unreliable
Salmonella infections,GR113-001,74,F,2015,0,1067619,Unreliable
Salmonella infections,GR113-001,75,F,2005,0,920144,Unreliable
Salmonella infections,GR113-001,75,F,2010,1,899069,Unreliable
Salmonella infections,GR113-001,75,F,2015,0,1010164,Unreliable
Salmonella infections,GR113-001,76,F,2005,1,872922,Unreliable
Salmonella infections,GR113-001,76,F,2010,0,823266,Unreliable
Salmonella infections,GR113-001,76,F,2015,1,947283,Unreliable
Salmonella infections,GR113-001,77,F,2005,0,864332,Unreliable
Salmonella infections,GR113-001,77,F,2010,1,823446,Unreliable
Salmonella infections,GR113-001,77,F,2015,0,910536,Unreliable
Salmonella infections,GR113-001,78,F,2005,0,838488,Unreliable
Salmonella infections,GR113-001,78,F,2010,0,797665,Unreliable
Salmonella infections,GR113-001,78,F,2015,1,840960,Unreliable
Salmonella infections,GR113-001,79,F,2005,1,803370,Unreliable
Salmonella infections,GR113-001,79,F,2010,1,791961,Unreliable
Salmonella infections,GR113-001,79,F,2015,0,803984,Unreliable
Salmonella infections,GR113-001,80,F,2005,1,785122,Unreliable
Salmonella infections,GR113-001,80,F,2010,0,764952,Unreliable
Salmonella infections,GR113-001,80,F,2015,0,772956,Unreliable
Salmonella infections,GR113-001,81,F,2005,0,742630,Unreliable
Salmonella infections,GR113-001,81,F,2010,1,717995,Unreliable
Salmonella infections,GR113-001,81,F,2015,0,693056,Unreliable
Salmonella infections,GR113-001,82,F,2005,1,683339,Unreliable
Salmonella infections,GR113-001,82,F,2010,1,698438,Unreliable
Salmonella infections,GR113-001,82,F,2015,0,671319,Unreliable
Salmonella infections,GR113-001,83,F,2005,1,648391,Unreliable
Salmonella infections,GR113-001,83,F,2010,0,654978,Unreliable
Salmonella infections,GR113-001,83,F,2015,1,640387,Unreliable
Salmonella infections,GR113-001,84,F,2005,2,595097,Unreliable
Salmonella infections,GR113-001,84,F,2010,0,612590,Unreliable
Salmonella infections,GR113-001,84,F,2015,0,608958,Unreliable
Salmonella infections,GR113-001,85,F,2005,1,Not Applicable,Not Applicable
Salmonella infections,GR113-001,85,F,2010,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,85,F,2015,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,86,F,2005,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,86,F,2010,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,86,F,2015,1,Not Applicable,Not Applicable
Salmonella infections,GR113-001,87,F,2005,1,Not Applicable,Not Applicable
Salmonella infections,GR113-001,87,F,2010,1,Not Applicable,Not Applicable
Salmonella infections,GR113-001,87,F,2015,1,Not Applicable,Not Applicable
Salmonella infections,GR113-001,88,F,2005,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,88,F,2010,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,88,F,2015,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,89,F,2005,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,89,F,2010,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,89,F,2015,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,90,F,2005,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,90,F,2010,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,90,F,2015,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,91,F,2005,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,91,F,2010,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,91,F,2015,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,92,F,2005,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,92,F,2010,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,92,F,2015,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,93,F,2005,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,93,F,2010,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,93,F,2015,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,94,F,2005,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,94,F,2010,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,94,F,2015,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,95,F,2005,1,Not Applicable,Not Applicable
Salmonella infections,GR113-001,95,F,2010,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,95,F,2015,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,96,F,2005,1,Not Applicable,Not Applicable
Salmonella infections,GR113-001,96,F,2010,1,Not Applicable,Not Applicable
Salmonella infections,GR113-001,96,F,2015,1,Not Applicable,Not Applicable
Salmonella infections,GR113-001,97,F,2005,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,97,F,2010,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,97,F,2015,1,Not Applicable,Not Applicable
Salmonella infections,GR113-001,98,F,2005,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,98,F,2010,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,98,F,2015,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,99,F,2005,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,99,F,2010,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,99,F,2015,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,100,F,2005,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,100,F,2010,0,Not Applicable,Not Applicable
Salmonella infections,GR113-001,100,F,2015,0,Not Applicable,Not Applicable
Shigellosis and amebiasis,GR113-002,0,F,2005,0,1956682,Unreliable
Shigellosis and amebiasis,GR113-002,0,F,2010,0,1929877,Unreliable
Shigellosis and amebiasis,GR113-002,0,F,2015,0,1942904,Unreliable
Shigellosis and amebiasis,GR113-002,1,F,2005,1,1950494,Unreliable
Shigellosis and amebiasis,GR113-002,1,F,2010,0,1947217,Unreliable
Shigellosis and amebiasis,GR113-002,1,F,2015,0,1939269,Unreliable
Shigellosis and amebiasis,GR113-002,2,F,2005,0,1932337,Unreliable
Shigellosis and amebiasis,GR113-002,2,F,2010,0,2004731,Unreliable
Shigellosis and amebiasis,GR113-002,2,F,2015,0,1939979,Unreliable
Shigellosis and amebiasis,GR113-002,3,F,2005,0,1930395,Unreliable
Shigellosis and amebiasis,GR113-002,3,F,2010,0,2014490,Unreliable
Shigellosis and amebiasis,GR113-002,3,F,2015,0,1943417,Unreliable
Shigellosis and amebiasis,GR113-002,4,F,2005,0,1971897,Unreliable
Shigellosis and amebiasis,GR113-002,4,F,2010,0,1985620,Unreliable
Shigellosis and amebiasis,GR113-002,4,F,2015,0,1964111,Unreliable
Shigellosis and amebiasis,GR113-002,5,F,2005,1,1901483,Unreliable
Shigellosis and amebiasis,GR113-002,5,F,2010,0,1984764,Unreliable
Shigellosis and amebiasis,GR113-002,5,F,2015,0,1967310,Unreliable
Shigellosis and amebiasis,GR113-002,6,F,2005,0,1871697,Unreliable
Shigellosis and amebiasis,GR113-002,6,F,2010,0,1991062,Unreliable
Shigellosis and amebiasis,GR113-002,6,F,2015,0,1968544,Unreliable
Shigellosis and amebiasis,GR113-002,7,F,2005,0,1876179,Unreliable
Shigellosis and amebiasis,GR113-002,7,F,2010,0,1973503,Unreliable
Shigellosis and amebiasis,GR113-002,7,F,2015,0,2031242,Unreliable
Shigellosis and amebiasis,GR113-002,8,F,2005,0,1888355,Unreliable
Shigellosis and amebiasis,GR113-002,8,F,2010,0,1981033,Unreliable
Shigellosis and amebiasis,GR113-002,8,F,2015,0,2039062,Unreliable
Shigellosis and amebiasis,GR113-002,9,F,2005,0,1936186,Unreliable
Shigellosis and amebiasis,GR113-002,9,F,2010,0,2028657,Unreliable
Shigellosis and amebiasis,GR113-002,9,F,2015,0,2021886,Unreliable
Shigellosis and amebiasis,GR113-002,10,F,2005,0,2024518,Unreliable
Shigellosis and amebiasis,GR113-002,10,F,2010,0,2036545,Unreliable
Shigellosis and amebiasis,GR113-002,10,F,2015,0,2017346,Unreliable
Shigellosis and amebiasis,GR113-002,11,F,2005,0,2024711,Unreliable
Shigellosis and amebiasis,GR113-002,11,F,2010,0,2011151,Unreliable
Shigellosis and amebiasis,GR113-002,11,F,2015,0,2023586,Unreliable
Shigellosis and amebiasis,GR113-002,12,F,2005,0,2072265,Unreliable
Shigellosis and amebiasis,GR113-002,12,F,2010,0,2006098,Unreliable
Shigellosis and amebiasis,GR113-002,12,F,2015,0,2010241,Unreliable
Shigellosis and amebiasis,GR113-002,13,F,2005,0,2104267,Unreliable
Shigellosis and amebiasis,GR113-002,13,F,2010,0,2013099,Unreliable
Shigellosis and amebiasis,GR113-002,13,F,2015,0,2001602,Unreliable
Shigellosis and amebiasis,GR113-002,14,F,2005,0,2122621,Unreliable
Shigellosis and amebiasis,GR113-002,14,F,2010,0,2030439,Unreliable
Shigellosis and amebiasis,GR113-002,14,F,2015,0,2049167,Unreliable
Shigellosis and amebiasis,GR113-002,15,F,2005,0,2168521,Unreliable
Shigellosis and amebiasis,GR113-002,15,F,2010,0,2065798,Unreliable
Shigellosis and amebiasis,GR113-002,15,F,2015,0,2076753,Unreliable
Shigellosis and amebiasis,GR113-002,16,F,2005,0,2094194,Unreliable
Shigellosis and amebiasis,GR113-002,16,F,2010,0,2100105,Unreliable
Shigellosis and amebiasis,GR113-002,16,F,2015,0,2045025,Unreliable
Shigellosis and amebiasis,GR113-002,17,F,2005,0,2055847,Unreliable
Shigellosis and amebiasis,GR113-002,17,F,2010,0,2132142,Unreliable
Shigellosis and amebiasis,GR113-002,17,F,2015,0,2049112,Unreliable
Shigellosis and amebiasis,GR113-002,18,F,2005,0,2050714,Unreliable
Shigellosis and amebiasis,GR113-002,18,F,2010,0,2195382,Unreliable
Shigellosis and amebiasis,GR113-002,18,F,2015,0,2061954,Unreliable
Shigellosis and amebiasis,GR113-002,19,F,2005,0,2065513,Unreliable
Shigellosis and amebiasis,GR113-002,19,F,2010,0,2243250,Unreliable
Shigellosis and amebiasis,GR113-002,19,F,2015,0,2078192,Unreliable
Shigellosis and amebiasis,GR113-002,20,F,2005,0,2055521,Unreliable
Shigellosis and amebiasis,GR113-002,20,F,2010,0,2210810,Unreliable
Shigellosis and amebiasis,GR113-002,20,F,2015,0,2123067,Unreliable
Shigellosis and amebiasis,GR113-002,21,F,2005,0,2011168,Unreliable
Shigellosis and amebiasis,GR113-002,21,F,2010,0,2131096,Unreliable
Shigellosis and amebiasis,GR113-002,21,F,2015,0,2166784,Unreliable
Shigellosis and amebiasis,GR113-002,22,F,2005,0,2024927,Unreliable
Shigellosis and amebiasis,GR113-002,22,F,2010,0,2086845,Unreliable
Shigellosis and amebiasis,GR113-002,22,F,2015,0,2197776,Unreliable
Shigellosis and amebiasis,GR113-002,23,F,2005,0,2046870,Unreliable
Shigellosis and amebiasis,GR113-002,23,F,2010,0,2057772,Unreliable
Shigellosis and amebiasis,GR113-002,23,F,2015,0,2264424,Unreliable
Shigellosis and amebiasis,GR113-002,24,F,2005,0,2084320,Unreliable
Shigellosis and amebiasis,GR113-002,24,F,2010,0,2085300,Unreliable
Shigellosis and amebiasis,GR113-002,24,F,2015,0,2319408,Unreliable
Shigellosis and amebiasis,GR113-002,25,F,2005,0,2090577,Unreliable
Shigellosis and amebiasis,GR113-002,25,F,2010,0,2101042,Unreliable
Shigellosis and amebiasis,GR113-002,25,F,2015,0,2322049,Unreliable
Shigellosis and amebiasis,GR113-002,26,F,2005,0,1973649,Unreliable
Shigellosis and amebiasis,GR113-002,26,F,2010,0,2055217,Unreliable
Shigellosis and amebiasis,GR113-002,26,F,2015,0,2233433,Unreliable
Shigellosis and amebiasis,GR113-002,27,F,2005,0,1927615,Unreliable
Shigellosis and amebiasis,GR113-002,27,F,2010,0,2108218,Unreliable
Shigellosis and amebiasis,GR113-002,27,F,2015,0,2185163,Unreliable
Shigellosis and amebiasis,GR113-002,28,F,2005,0,1891577,Unreliable
Shigellosis and amebiasis,GR113-002,28,F,2010,0,2096644,Unreliable
Shigellosis and amebiasis,GR113-002,28,F,2015,0,2149931,Unreliable
Shigellosis and amebiasis,GR113-002,29,F,2005,0,1829126,Unreliable
Shigellosis and amebiasis,GR113-002,29,F,2010,0,2105137,Unreliable
Shigellosis and amebiasis,GR113-002,29,F,2015,0,2161579,Unreliable
Shigellosis and amebiasis,GR113-002,30,F,2005,0,1914556,Unreliable
Shigellosis and amebiasis,GR113-002,30,F,2010,0,2124866,Unreliable
Shigellosis and amebiasis,GR113-002,30,F,2015,0,2185746,Unreliable
Shigellosis and amebiasis,GR113-002,31,F,2005,0,1845744,Unreliable
Shigellosis and amebiasis,GR113-002,31,F,2010,1,1982063,Unreliable
Shigellosis and amebiasis,GR113-002,31,F,2015,0,2125468,Unreliable
Shigellosis and amebiasis,GR113-002,32,F,2005,0,1921927,Unreliable
Shigellosis and amebiasis,GR113-002,32,F,2010,0,1992371,Unreliable
Shigellosis and amebiasis,GR113-002,32,F,2015,0,2162451,Unreliable
